frame_number,track_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_plate_number,license_text_score
133,106.0,[670.3916625976562 576.5736083984375 1113.2894287109375 1038.580078125],[142.79489135742188 212.14305114746094 294.1842956542969 258.6057434082031],0.7533277869224548,KE64GYH,0.35457810097772224
134,106.0,[670.0292358398438 576.441162109375 1113.3778076171875 1037.87744140625],[143.18153381347656 212.1504669189453 294.260009765625 258.8431091308594],0.7403740286827087,KE64GYW,0.5846026155720254
135,106.0,[670.150634765625 576.3026123046875 1113.4453125 1037.513671875],[143.11952209472656 212.251953125 294.2493896484375 258.7083435058594],0.7411320805549622,KE64GYW,0.5745630603201454
136,106.0,[670.438232421875 576.3123779296875 1113.37451171875 1037.7320556640625],[143.09413146972656 212.23297119140625 294.28131103515625 258.7485046386719],0.7395641207695007,KE64GYW,0.5745630603201454
137,106.0,[670.5204467773438 576.3358764648438 1113.403076171875 1037.4915771484375],[143.10397338867188 212.3126678466797 294.1999816894531 258.6158752441406],0.7373672723770142,KE64GYW,0.5745630603201454
138,106.0,[670.4500732421875 576.3438110351562 1113.44873046875 1037.656005859375],[143.11557006835938 212.3212890625 294.2242736816406 258.64190673828125],0.73680579662323,KE64GYW,0.5745630603201454
139,106.0,[670.800537109375 576.2896728515625 1113.4227294921875 1037.487548828125],[143.15838623046875 212.32217407226562 294.1814880371094 258.6018981933594],0.7360570430755615,KE64GYW,0.5745630603201454
140,106.0,[670.8923950195312 576.328369140625 1113.440185546875 1037.628662109375],[143.24563598632812 212.4468536376953 294.2341613769531 258.6056213378906],0.7342621088027954,KE64GYW,0.5601998747262359
141,106.0,[670.8118896484375 576.3894653320312 1113.4552001953125 1037.47314453125],[143.18435668945312 212.4532012939453 294.1560363769531 258.5469055175781],0.7388792037963867,KE64GYW,0.5932679305388392
142,106.0,[670.8346557617188 576.34130859375 1113.387939453125 1037.3035888671875],[143.14515686035156 212.35865783691406 294.239013671875 258.70965576171875],0.7403339743614197,KE64GYW,0.5496045837035247
143,106.0,[670.8030395507812 576.3978881835938 1113.308349609375 1037.5560302734375],[143.1496124267578 212.3714599609375 294.2757873535156 258.7031555175781],0.7398784160614014,KE64GYW,0.5976934910363373
